Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Malibu,8495,72520,10,Less Room,Black,MN
Chevrolet,Malibu,3750,134088,12,Less Room,Gray,WI
Chevrolet,Malibu,17550,44540,3,Less Room,Blue,MN
Toyota,Camry,5180,198339,12,More Room,Gray,WI
Chevrolet,Malibu,6495,104413,13,Less Room,Black,MN
Toyota,Camry,19990,3000,2,More Room,Blue,MN
Honda,Civic,3995,206851,16,Less Room,Black,MN
Toyota,Corolla,13699,29955,4,Less Room,Silver,MN
Chevrolet,Impala,4995,128612,10,More Room,Maroon,IA
Honda,Accord,4995,232942,12,More Room,Burgundy,MN
Chevrolet,Impala,6291,115171,10,More Room,,MN
Chevrolet,Malibu,12274,26945,7,Less Room,Silver,MN
Toyota,Camry,16441,27900,4,More Room,White,WI
Chevrolet,Impala,14500,45500,3,More Room,Silver,IA
Toyota,Corolla,9541,122946,5,Less Room,Bronze,IA
Honda,Accord,3495,165000,13,More Room,Silver,MN
Chevrolet,Malibu,9995,52000,8,Less Room,White,MN
Chevrolet,Impala,3500,185913,13,More Room,Burgundy,IA
Chevrolet,Impala,4499,182647,8,More Room,Gray,WI
Chevrolet,Malibu,6995,143187,12,Less Room,Blue,MN
Toyota,Corolla,15498,31145,2,Less Room,White,IA
Chevrolet,Malibu,13995,44478,4,Less Room,Silver,IA
Honda,Accord,9499,97519,8,More Room,Maroon,WI
Chevrolet,Malibu,8999,83581,7,Less Room,Red,MN
Honda,Civic,20299,13378,3,Less Room,Blue,MN
Chevrolet,Malibu,12490,72515,5,Less Room,Red,IA
Honda,Accord,8699,109092,9,More Room,,MN
Honda,Accord,17888,35892,4,More Room,Black,MN
Chevrolet,Impala,14995,50000,3,More Room,White,MN
Honda,Civic,10475,107003,7,Less Room,Silver,MN
Chevrolet,Malibu,22995,5935,3,Less Room,Blue,MN
Chevrolet,Impala,1999,213265,13,More Room,White,MN
Chevrolet,Malibu,8799,74627,7,Less Room,Silver,WI
Chevrolet,Impala,5200,122000,11,More Room,Maroon,MN
Chevrolet,Malibu,13495,53117,5,Less Room,Blue,MN
Chevrolet,Impala,23995,15500,1,More Room,Black,IA
Chevrolet,Malibu,4995,126387,10,Less Room,White,IA
Honda,Accord,21699,30814,4,More Room,Silver,MN
Toyota,Corolla,9650,121149,5,Less Room,Green,MN
Honda,Accord,3795,131266,19,More Room,Green,MN
